origem,cidade_destino,nome_mapa,unidade_destino,rotas,lead_time,regiao,latitude,longitude,tipo_match,codigo_ibge,fonte_coordenada
PONTE NOVA,ABAETE,Abaeté,DIV,60 DIV,3,CENTRO OESTE,-19.1551,-45.4444,município,3100203,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ANTUNES,"Antunes, Igaratinga",DIV,60 DIV,3,CENTRO OESTE,-19.9046549,-44.7015454,distrito/localidade,,OpenStreetMap/Nominatim: village
PONTE NOVA,ARAUJOS,Araújos,DIV,60 DIV,3,CENTRO OESTE,-19.9405,-45.1671,município,3103900,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ARCOS,Arcos,FOR,70 FOR,3,CENTRO OESTE,-20.2863,-45.5373,município,3104205,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,AZURITA,"Azurita, Mateus Leme",DIV,60 DIV,3,CENTRO OESTE,-20.0097654,-44.4718243,distrito/localidade,,OpenStreetMap/Nominatim: village
PONTE NOVA,BIQUINHAS,Biquinhas,DIV,60 DIV,3,CENTRO OESTE,-18.7754,-45.4974,município,3107000,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,BOM DESPACHO,Bom Despacho,DIV,60 DIV,3,CENTRO OESTE,-19.7386,-45.2622,município,3107406,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,BONFIM,Bonfim,DIV,60 DIV,3,CENTRO OESTE,-20.3302,-44.2366,município,3108107,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CAMACHO,Camacho,DIV,60 DIV,3,CENTRO OESTE,-20.6294,-45.1593,município,3110400,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CAPITOLIO,Capitólio,FOR ,70 FOR,3,CENTRO OESTE,-20.6164,-46.0493,município,3112802,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CARMO DA MATA,Carmo da Mata,DIV,60 DIV,3,CENTRO OESTE,-20.5575,-44.8735,município,3114006,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CARMO DO CAJURU,Carmo do Cajuru,DIV,60 DIV,3,CENTRO OESTE,-20.1912,-44.7664,município,3114204,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CARMOPOLIS DE MINAS,Carmópolis de Minas,DIV,60 DIV,3,CENTRO OESTE,-20.5396,-44.6336,município,3114501,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CEDRO DO ABAETE,Cedro do Abaeté,DIV,60 DIV,3,CENTRO OESTE,-19.1458,-45.712,município,3115607,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CLAUDIO,Cláudio,DIV,60 DIV,3,CENTRO OESTE,-20.4437,-44.7673,município,3116605,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CONCEICAO DO PARA,Conceição do Pará,DIV,60 DIV,3,CENTRO OESTE,-19.7456,-44.8945,município,3117603,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CORREGO FUNDO,Córrego Fundo,FOR,70 FOR,3,CENTRO OESTE,-20.4474,-45.5617,município,3119955,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,CRUCILANDIA,Crucilândia,DIV,60 DIV,3,CENTRO OESTE,-20.3923,-44.3334,município,3120607,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,DIVINOPOLIS,Divinópolis,DIV,60 DIV,3,CENTRO OESTE,-20.1446,-44.8912,município,3122306,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,DORES DO INDAIA,Dores do Indaiá,DIV,60 DIV,3,CENTRO OESTE,-19.4628,-45.5927,município,3123205,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,DORESOPOLIS,Doresópolis,DIV,60 DIV,3,CENTRO OESTE,-20.2868,-45.9007,município,3123403,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ESTRELA DO INDAIA,Estrela do Indaiá,DIV,60 DIV,3,CENTRO OESTE,-19.5169,-45.7859,município,3124708,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,FLORESTAL,Florestal,DIV,60 DIV,3,CENTRO OESTE,-19.888,-44.4318,município,3126000,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,FORMIGA,Formiga,FOR,70 FOR,3,CENTRO OESTE,-20.4618,-45.4268,município,3126109,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,IGARATINGA,Igaratinga,DIV,60 DIV,3,CENTRO OESTE,-19.9476,-44.7063,município,3130200,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,IGUATAMA,Iguatama,FOR,70 FOR,3,CENTRO OESTE,-20.1776,-45.7111,município,3130309,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ITAGUARA,Itaguara,DIV,60 DIV,3,CENTRO OESTE,-20.3947,-44.4875,município,3132206,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ITAPECERICA,Itapecerica,DIV,60 DIV,3,CENTRO OESTE,-20.4704,-45.127,município,3133501,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ITATIAIUCU,Itatiaiuçu,DIV,60 DIV,3,CENTRO OESTE,-20.1983,-44.4211,município,3133709,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ITAUNA,Itaúna,DIV,60 DIV,3,CENTRO OESTE,-20.0818,-44.5801,município,3133808,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,JAPARAIBA,Japaraíba,FOR,70 FOR,3,CENTRO OESTE,-20.1442,-45.5015,município,3135308,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,JUATUBA,Juatuba,DIV,60 DIV,3,CENTRO OESTE,-19.9448,-44.3451,município,3136652,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,LAGOA DA PRATA,Lagoa da Prata,FOR,70 FOR,3,CENTRO OESTE,-20.0237,-45.5401,município,3137205,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,LEANDRO FERREIRA,Leandro Ferreira,DIV,60 DIV,3,CENTRO OESTE,-19.7193,-45.0279,município,3138302,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,LUZ,Luz,DIV,60 DIV,3,CENTRO OESTE,-19.7911,-45.6794,município,3138807,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,MARAVILHAS,Maravilhas,DIV,60 DIV,3,CENTRO OESTE,-19.5076,-44.6779,município,3139706,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,MARTINHO CAMPOS,Martinho Campos,DIV,60 DIV,3,CENTRO OESTE,-19.3306,-45.2434,município,3140506,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,MATEUS LEME,Mateus Leme,DIV,60 DIV,3,CENTRO OESTE,-19.9794,-44.4318,município,3140704,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,MOEMA,Moema,DIV,60 DIV,3,CENTRO OESTE,-19.8387,-45.4127,município,3142403,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,MORADA NOVA DE MINAS,Morada Nova de Minas,DIV,60 DIV,3,CENTRO OESTE,-18.5998,-45.3584,município,3143500,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,NOVA SERRANA,Nova Serrana,DIV,60 DIV,3,CENTRO OESTE,-19.8713,-44.9847,município,3145208,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,OLIVEIRA,Oliveira,DIV,60 DIV,3,CENTRO OESTE,-20.6982,-44.829,município,3145604,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,ONCA DE PITANGUI,Onça de Pitangui,DIV,60 DIV,3,CENTRO OESTE,-19.7276,-44.8058,município,3145802,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PAINEIRAS,Paineiras,DIV,60 DIV,3,CENTRO OESTE,-18.8993,-45.5321,município,3146404,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PAINS,Pains,FOR,70 FOR,3,CENTRO OESTE,-20.3705,-45.6627,município,3146503,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PAPAGAIOS,Papagaios,DIV,60 DIV,3,CENTRO OESTE,-19.4419,-44.7468,município,3146909,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PARA DE MINAS,Pará de Minas,DIV,60 DIV,3,CENTRO OESTE,-19.8534,-44.6114,município,3147105,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PASSA TEMPO,Passa Tempo,DIV,60 DIV,3,CENTRO OESTE,-20.6539,-44.4926,município,3147709,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PEDRA DO INDAIA,Pedra do Indaiá,DIV,60 DIV,3,CENTRO OESTE,-20.2563,-45.2107,município,3148905,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PEQUI,Pequi,DIV,60 DIV,3,CENTRO OESTE,-19.6284,-44.6604,município,3149606,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PERDIGAO,Perdigão,DIV,60 DIV,3,CENTRO OESTE,-19.9411,-45.078,município,3149705,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PIEDADE DOS GERAIS,Piedade dos Gerais,DIV,60 DIV,3,CENTRO OESTE,-20.4715,-44.2243,município,3150406,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PIMENTA,Pimenta,FOR,70 FOR,3,CENTRO OESTE,-20.4827,-45.8049,município,3150505,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PIRACEMA,Piracema,DIV,60 DIV,3,CENTRO OESTE,-20.5089,-44.4783,município,3150604,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
PONTE NOVA,PITANGUI,Pitangui,DIV,60 DIV,3,CENTRO OESTE,-19.6741,-44.8964,município,3151404,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
