transportadora,cnpj,codigo,rota,cidade,razao_social,nome_mapa,latitude,longitude,codigo_ibge,tipo_match,fonte_coordenada
BRASPRESS IPN,08.654.416/0001-35,474,2,AGUA BOA,DROGARIA JPM LTDA ME,Água Boa,-17.9914,-42.3806,3100609,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.837.624/0001-70,53,2,AGUA BRANCA,JOSEFA MARIA DOS SANTOS GOMES,Água Branca,-9.262,-37.938,2700102,município,Base Municipios-Brasileiros
BRASPRESS IPN,20.008.109/0001-82,761,2,AGUAS FORMOSAS,SIMONE PEDROSO LEITE,Águas Formosas,-17.0802,-40.9384,3100906,município,Base Municipios-Brasileiros
BRASPRESS IPN,24.157.279/0001-80,35,2,AGUAS VERMELHAS,DROGARIA SOUZA RUAS LTDA,Águas Vermelhas,-15.7431,-41.4571,3101003,município,Base Municipios-Brasileiros
BRASPRESS IPN,17.683.534/0001-62,37,2,AGUAS VERMELHAS,DROGARIA SOUSA ROCHA LTDA,Águas Vermelhas,-15.7431,-41.4571,3101003,município,Base Municipios-Brasileiros
BRASPRESS IPN,07.657.931/0001-06,752,2,AGUIA BRANCA,F. C. RONCONI PADOVANI FORTUNA DROGARIA,Águia Branca,-18.9846,-40.7437,3200136,município,Base Municipios-Brasileiros
BRASPRESS IPN,36.010.141/0001-32,562,2,ALAGOINHAS,MALTA & MIRANDA COMERCIO DE MEDICAMENTOS LTDA,Alagoinhas,-12.1335,-38.4208,2900702,município,Base Municipios-Brasileiros
BRASPRESS IPN,10.411.824/0001-08,570,2,ALMADINA,FARMACIA LIZ LTDA,Almadina,-14.7089,-39.6415,2900900,município,Base Municipios-Brasileiros
BRASPRESS IPN,07.175.491/0001-50,320,2,ALMENARA,FIDELINO CARVALHO FILHO ME ALMENARA,Almenara,-16.1785,-40.6942,3101706,município,Base Municipios-Brasileiros
BRASPRESS IPN,18.826.208/0003-91,321,2,ALMENARA,DROGARIA PEREIRA CARVALHO LTDA,Almenara,-16.1785,-40.6942,3101706,município,Base Municipios-Brasileiros
BRASPRESS IPN,26.965.510/0001-97,711,2,ALMENARA,PHARMAVIDA PRODUTOS FARMACEUTICOS LTDA ME,Almenara,-16.1785,-40.6942,3101706,município,Base Municipios-Brasileiros
BRASPRESS IPN,10.730.142/0001-68,734,2,ALTO ALEGRE DOS PARECIS,F. J. DA SILVA EIRELI,Alto Alegre dos Parecis,-12.132,-61.835,1100379,município,Base Municipios-Brasileiros
BRASPRESS IPN,72.061.781/0001-35,478,2,ALTONIA,VEQUIATO COMERCIO PRODUTOS FARMACEUTICOS LTDA,Altônia,-23.8759,-53.8958,4100509,município,Base Municipios-Brasileiros
BRASPRESS IPN,41.921.198/0001-23,347,2,ALVARENGA,DROGARIA POUSAS LTDA ME,Alvarenga,-19.4174,-41.7317,3102209,município,Base Municipios-Brasileiros
BRASPRESS IPN,09.660.971/0001-32,107,2,ALVINOPOLIS,GUILHERME GOMES COELHO CARLOS ME,Alvinópolis,-20.1098,-43.0535,3102308,município,Base Municipios-Brasileiros
BRASPRESS IPN,06.114.176/0001-50,578,2,ALVORADA D'OESTE,FARMACIA MEDICAMENTO BARATO LTDA - ME,Alvorada D'Oeste,-11.3463,-62.2847,1100346,município,Base Municipios-Brasileiros
BRASPRESS IPN,09.666.786/0001-55,171,2,AMPARO DA SERRA,DROGARIA DRUGSTORE PIRES & BITENCOURT LTDA,Amparo do Serra,-20.5051,-42.8009,3102506,grafia alternativa,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,03.700.189/0001-13,1433,2,ANAGE,DROGARIA CARDOSO & DIAS LTDA,Anagé,-14.6151,-41.1356,2901205,município,Base Municipios-Brasileiros
BRASPRESS IPN,22.044.204/0001-67,74,2,ANAJAS,1601 - A. R. GUIMARAES MEDICAMENTOS,Anajás,-0.996811,-49.9354,1500701,município,Base Municipios-Brasileiros
BRASPRESS IPN,40.126.576/0001-14,163,2,ANGELANDIA,DROGARIA ELEUTERIO EIRELI,Angelândia,-17.7279,-42.2641,3102852,município,Base Municipios-Brasileiros
BRASPRESS IPN,14.533.787/0001-61,1528,2,ANICUNS,J M B PHARMA LTDA,Anicuns,-16.4642,-49.9617,5201306,município,Base Municipios-Brasileiros
BRASPRESS IPN,10.750.495/0004-72,1910,2,APARECIDA,FARMACIA CLINICA LTDA,Aparecida,-22.8495,-45.2325,3502507,município,Base Municipios-Brasileiros
